top_high5_result_id,contestant_id,contest_id,level,round_id,jurisdiction,rank,score,total_votes,migrated,reason
1142,388,173,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1143,612,175,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1144,392,175,regional,3,West Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1146,400,179,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1147,404,181,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1148,408,183,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1155,565,190,regional,3,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1156,564,192,regional,3,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1204,463,17,continent,3,Africa,1,5,1,False,AUTHORITATIVE_COHORT_RESULT
1206,511,19,continent,3,Africa,1,5,1,False,AUTHORITATIVE_COHORT_RESULT
1221,96,27,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1224,577,29,continent,3,Africa,3,2,1,False,AUTHORITATIVE_COHORT_RESULT
1227,574,32,continent,3,Africa,1,3,1,False,AUTHORITATIVE_COHORT_RESULT
1229,110,34,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1244,471,42,continent,3,Africa,1,10,2,True,AUTHORITATIVE_COHORT_RESULT
1245,459,42,continent,3,Africa,2,9,2,True,AUTHORITATIVE_COHORT_RESULT
1252,552,49,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1253,514,49,continent,3,Africa,2,0,0,False,AUTHORITATIVE_COHORT_RESULT
1254,140,49,continent,3,Africa,3,0,0,False,AUTHORITATIVE_COHORT_RESULT
1255,144,51,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1256,148,53,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1257,152,55,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1258,156,57,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1259,572,59,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1260,557,59,continent,3,Africa,2,0,0,False,AUTHORITATIVE_COHORT_RESULT
1261,160,59,continent,3,Africa,3,0,0,False,AUTHORITATIVE_COHORT_RESULT
1262,164,61,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1263,559,62,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1264,166,62,continent,3,Africa,2,0,0,False,AUTHORITATIVE_COHORT_RESULT
1265,504,64,continent,3,Africa,1,3,1,True,AUTHORITATIVE_COHORT_RESULT
1267,174,66,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1268,178,68,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1269,182,70,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1270,186,72,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1271,633,74,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1272,589,74,continent,3,Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1273,585,74,continent,3,Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1274,190,74,continent,3,Africa,4,0,0,False,AUTHORITATIVE_COHORT_RESULT
1275,194,76,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1276,632,78,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1277,628,78,continent,3,Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1278,623,78,continent,3,Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1283,206,82,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1284,210,84,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1286,214,86,continent,3,Africa,2,0,0,False,AUTHORITATIVE_COHORT_RESULT
